table_name,column_name,data_type,is_nullable
blog_posts,id,text,NO
blog_posts,slug,text,NO
blog_posts,title,text,NO
blog_posts,excerpt,text,YES
blog_posts,content_markdown,text,YES
blog_posts,author,text,NO
blog_posts,author_avatar,text,YES
blog_posts,category,text,YES
blog_posts,cover_emoji,text,YES
blog_posts,cover_color,text,YES
blog_posts,difficulty,text,YES
blog_posts,reading_time,integer,YES
blog_posts,tags,ARRAY,YES
blog_posts,linked_unit_id,text,YES
blog_posts,linked_flashcard_id,text,YES
blog_posts,related_post_ids,ARRAY,YES
blog_posts,is_featured,boolean,YES
blog_posts,is_pinned,boolean,YES
blog_posts,status,text,YES
blog_posts,published_at,date,YES
blog_posts,created_at,timestamp with time zone,YES
categories,id,text,NO
categories,icon,text,NO
categories,title,text,NO
categories,description,text,YES
categories,sort_order,integer,YES
categories,created_at,timestamp with time zone,YES
departments,id,bigint,NO
departments,name,text,NO
departments,created_at,timestamp with time zone,NO
exam_results,id,uuid,NO
exam_results,student_id,uuid,YES
exam_results,unit_id,text,YES
exam_results,difficulty,text,YES
exam_results,score,integer,NO
exam_results,total,integer,NO
exam_results,pct,integer,NO
exam_results,xp_earned,integer,YES
exam_results,answers_detail,jsonb,YES
exam_results,created_at,timestamp with time zone,YES
flashcard_topics,id,text,NO
flashcard_topics,title,text,NO
flashcard_topics,description,text,YES
flashcard_topics,icon,text,YES
flashcard_topics,card_count,integer,YES
flashcard_topics,sort_order,integer,YES
flashcard_topics,is_published,boolean,YES
flashcards,id,uuid,NO
flashcards,topic_id,text,YES
flashcards,english,text,NO
flashcards,phonetic,text,YES
flashcards,vietnamese,text,NO
flashcards,type,text,YES
flashcards,sort_order,integer,YES
post_tags,post_id,bigint,NO
post_tags,tag_id,bigint,NO
profiles,id,uuid,NO
profiles,full_name,text,NO
profiles,role,text,YES
profiles,department_id,bigint,YES
profiles,updated_at,timestamp with time zone,YES
questions,id,bigint,NO
questions,unit_id,text,YES
questions,type,text,NO
questions,difficulty,text,NO
questions,question,text,NO
questions,options,jsonb,YES
questions,answer,text,NO
questions,explanation,text,YES
questions,script,text,YES
questions,sort_order,integer,YES
questions,is_active,boolean,YES
questions,created_at,timestamp with time zone,YES
questions,updated_at,timestamp with time zone,YES
results,id,uuid,NO
results,student_id,text,NO
results,username,text,NO
results,unit,text,NO
results,difficulty,text,NO
results,score,integer,NO
results,total,integer,NO
results,pct,integer,NO
results,xp_earned,integer,YES
results,new_xp,integer,YES
results,new_level,integer,YES
results,streak,integer,YES
results,record_json,jsonb,YES
results,created_at,timestamp without time zone,YES
speaking_sentences,id,uuid,NO
speaking_sentences,subtopic_id,text,YES
speaking_sentences,text_en,text,NO
speaking_sentences,text_vi,text,NO
speaking_sentences,type,text,YES
speaking_sentences,sort_order,integer,YES
speaking_subtopics,id,text,NO
speaking_subtopics,topic_id,text,YES
speaking_subtopics,name,text,NO
speaking_subtopics,icon,text,YES
speaking_subtopics,sort_order,integer,YES
speaking_topics,id,text,NO
